variable,descriptionExisting,description,notes,inData,type,numberNas,numberNasProportion,naCountYearlyMean,typeAfterNas
survey_char,"1=summer townet, 2=fall midwater trawl, 3= spring kodiak trawl",NA,NA,TRUE,potential,0,0,0,
collection_date,Date on which the station data was collected,NA,NA,TRUE,engineer,3,0.001141553,0,engineer
fork_length,Fork length in millimeters (0.1); recorded from intact and defrosted body,NA,NA,TRUE,response,3,0.001141553,0.000103778,response
fork_length_bins,NA,"forklength, grouped in bins of 10s",NA,TRUE,engineer,3,0.001141553,0.000103778,
region1,NA,"spatial unit, finer scale than ""region""",NA,TRUE,potential,4,0.00152207,3.45925E-05,predictor
sal_dum_og,NA,classification of salinity ranges,NA,TRUE,engineer,4,0.00152207,3.45925E-05,
avg_sal,Average salinity of water from the surface in ppt,NA,NA,TRUE,engineer,9,0.003424658,0.000207555,predictor
total_weight,total intact body wet weight in grams (0.0001); recorded from intact and defrosted body,NA,NA,TRUE,response,13,0.004946728,0.000449703,response
cf,NA,condition factor,NA,TRUE,response,14,0.005327245,0.000484295,response
cf_bins,NA,"condition factor, grouped in bins of 0.1",NA,TRUE,engineer,14,0.005327245,0.000484295,
cf_no_gonad,NA,"condition factor, with gonads removed?",NA,TRUE,predictor,14,0.005327245,0.000484295,response
avg_turb,average turbidity of the water at surface,NA,NA,TRUE,engineer,24,0.00913242,0.000726443,predictor
season,NA,season of the year,NA,TRUE,engineer,31,0.011796043,0.00096859,predictor
chl_a_avg,Average of the chlorophyll a variables,NA,NA,TRUE,engineer,33,0.012557078,0.001037775,predictor
avg_temp,average surface water temperature recorded in degrees Celsius,NA,NA,TRUE,engineer,37,0.014079148,0.001176145,predictor
x2_actual,NA,NA,"how does this compare to ""x2""",TRUE,engineer,38,0.014459665,0.001210738,engineer
dfw_sal,"The salinity of the first foot of water from the surface in micro-siemens, where salinity (ppt)=((0.36966/(((dfw_spcond*0.001)^-1.07)-0.00074))*1.28156",NA,NA,TRUE,engineer,143,0.054414003,0.00484295,predictor
liver_weight,liver weight in grams (0.0001),NA,NA,TRUE,response/predictor,156,0.059360731,0.00539643,response
dissection_date,Date on which the fish was dissected,NA,NA,TRUE,engineer,158,0.060121766,0.005361838,engineer
hsi,NA,hepatosomatic index,NA,TRUE,response,163,0.062024353,0.005638578,response
dfw_spcond,Specific Conductivity of the first foot of water from the surface in micro-siemens,NA,NA,TRUE,engineer,191,0.072678843,0.00650339,predictor
zoop_biomass_mg,NA,NA,no clue,TRUE,potential,196,0.074581431,0.006676353,predictor
wet_dry,NA,appears to be a binary classification of WYT,NA,TRUE,engineer,307,0.116818874,0.01051612,
log_outflow,NA,outflow from Dayflow,NA,TRUE,engineer,327,0.124429224,0.01120797,engineer
mean_outflow_m3,mean monthly outflow from dayflow (the OUT variable) in cubic meters but averaged first over months and then over years,NA,NA,TRUE,engineer,327,0.124429224,0.01120797,
outflow_index,outflow_m3 minus mean_outflow_m3,NA,NA,TRUE,engineer,327,0.124429224,0.01120797,
