"Cohort_Year","nHat_s1","nSE_s1","nHat_s2","nSE_s2","nHat_s3","nSE_s3","nHat_s4","nSE_s4","Outflow_Mar0May0","Secchi_meanofmeans_Mar0May0","Temperature_meanofmeans_Mar0May0","ACM_BPUV_Mar0May0_rescaled","EI.ratio_Mar0May0","X2_Mar0May0","NJ_BPUV_Mar0May0","Outflow_Jun0Aug0_daily","Secchi_meanofmeans_Jun0Aug0","SBAge0_Jun0Aug0","NJACM_BPUV_Jun0Aug0","LSZ_Sep0Nov0","X2_Sep0Nov0","Outflow_Sep0Nov0_daily","Secchi_meanofmeans_Sep0Nov0","NJACM_BPUV_Sep0Nov0","SBAge0_Sep0Nov0","OMR_Dec0Mar1_metric","SouthSecchi_meanofmeans_Dec0Mar1","ACM_BPUV_Dec0Feb1","SBAge1Plus_Dec0Dec0"
1990,NA,NA,944889.804908164,247880.350841206,481532.304895662,164120.001452164,130355.263441912,33385.4702551482,1060353.70373544,33.4444444444444,14.9277777777778,10.4449803300563,1.37134653335703,87.3475081611939,388.880833333333,10.8133584845385,35.5037037037037,5802020.15855448,6999.94963346378,0.371581395618511,91.2195163349498,8.34790179366036,59.5511373837858,7472.95976716839,612680.175602986,-136.990702723424,92.2788970588235,2596.73704559911,177596.416814574
1991,NA,NA,3947363.47116806,683072.22856484,1175489.37471993,226754.116221446,102917.628331461,26578.9810671155,1969043.27742397,36.375369115859,13.9436859475421,8.17040522207242,0.623612154814118,82.3944752773047,497.387166666667,8.03718670385106,38.2990457507104,4751211.53093077,4389.84844989622,0.36907374186622,90.6990796568386,9.34192946757184,62.3509337506521,4746.65383940333,283884.788697759,-145.42060291168,106.88,2090.96784408937,45312.4904288553
1992,NA,NA,1722647.9382742,287980.606119101,155187.817247153,57360.8900082903,55781.6129926361,14076.1545562816,1389238.98825453,38.6086704364216,17.1030733169011,53.6702286606813,0.684466767940971,79.5015446512321,2016.41791666667,7.52064015263094,39.4226939383961,8021811.69557067,3686.72210100889,0.359363828963481,89.1684516234217,9.56350411052726,67.7813669274196,2634.86341066483,728565.786037425,-151.993471752128,49.33125,1683.47303816788,49003.6436828573
1993,NA,NA,7957836.34866198,1429501.85267248,1846911.91408216,544850.626365441,481831.458361108,104994.92648635,8117829.30456229,38.6582980964781,15.180868675959,43.5742221627492,0.114411888957493,59.5889657476842,1572.79291666667,37.1604237822128,34.6123869289914,26179788.7933578,6518.82494693961,0.375954687319413,83.3012433008644,14.3402832351341,61.4601537039739,2967.69466164011,948032.15007594,-131.93890126272,90.4346666666667,842.198526411313,133769.333362303
1994,NA,NA,5594683.57543578,743458.125410462,61939.190407037,24161.2261290777,89514.5880005103,24143.2894028557,1624692.86916069,62.8232142857143,14.6036607142857,31.1838072048229,0.319196548474209,76.431174074177,2282.70291666667,9.47125225786136,43.0546662274923,8409601.05684363,1191.32807357233,0.34968247542773,87.5309426945507,11.3179646835398,63.2792825515428,1446.33519796661,450303.743827163,-89.229883238625,62.0348913043478,946.329515756875,46592.0166934904
1995,3768043.49950407,1698855.99219112,3885217.68078534,503118.416795108,2848637.27984357,536414.843144913,850880.675844601,204009.026580595,23771049.5749686,48.9129489806653,14.8491940063966,27.8820566080912,0.0281148152904263,49.4309401180437,1201.53458333333,68.3508310143016,47.1830144122562,12897135.8688479,5002.87115828417,0.476333131972713,74.2751745196256,31.72290971055,54.097138047138,2822.88575493894,352064.975588894,-36.3656937271591,74.3767857142857,843.465550394125,39236.5029309547
1996,52073059.0614456,9728568.08907967,9519528.4147122,3741333.97108577,71671.5818947576,24275.9835214498,115678.988549345,27374.4328885257,10812309.2657523,51.7895606636415,15.4589630105331,24.9372149341142,0.0723531636852469,55.5678426162671,1234.99833333333,27.6380859639677,37.5881280906622,2393640.20830712,3612.83718524544,0.399084767866402,81.7136915093754,17.7557558339502,57.0985478366431,2388.38246320022,156758.375103983,293.575078735862,59.8832712215321,769.09930992425,104006.449058487
1997,28084494.4586267,5310401.20791121,2256242.05601356,650399.440389175,687945.640610923,203550.252273258,139161.337751355,40921.5357386466,3681816.14531599,48.1853275018223,16.1852199519779,26.8536902178271,0.251151650452068,65.4604347826087,1415.47583333333,21.5492509423212,42.7986963178366,3263255.74214939,3305.834210107,0.363528360689418,84.2918681318681,15.1528920163137,65.6275510204082,2644.22358910411,507470.145773886,59.5512248395042,59.992380952381,1256.93984299656,59126.4423459338
1998,5467755.92554361,2537978.07048481,3006381.81181128,558410.336822869,325563.613811758,69910.6288083007,170286.259809612,39177.1005604035,15834650.3504377,41.3211884575338,14.3131455125001,18.958624157425,0.0290944738036374,49.8532608695652,1302.00583333333,99.5059224607633,34.5137639919438,4145748.04699988,6185.18433316489,0.472226579206498,70.8951648351648,42.5973793964221,45.3937643020595,3130.69181461194,636595.308292539,-21.3460153505177,74.7773109243697,2212.1824523665,136216.412631461
1999,17644146.7616584,4293895.94748053,9307495.76334971,1464872.54295938,2183843.18448531,481450.301338778,535954.113385498,133155.854620184,7728085.17794457,45.3533520074697,14.2493673243304,23.2987312445892,0.122678693295054,58.3608695652174,1288.00541666667,24.6687144976021,34.7062493191812,3261150.40148652,4949.11214075544,0.357935181654992,84.8330769230769,12.8114394733114,51.3215886939571,3181.73924901822,286499.098625751,-149.749530046862,87.6235119047619,1149.53245158387,161427.412557603
