region_no,region,year,month,sal_base,sal_fallX2_hi,sal_fallX2_low,sal_sumX2_hi
1,Yolo Bypass,2016,1,0.106635915,NA,NA,NA
1,Yolo Bypass,2016,2,0.740325812,NA,NA,NA
1,Yolo Bypass,2016,3,0.678630481,NA,NA,NA
1,Yolo Bypass,2016,4,0.192367103,NA,NA,NA
1,Yolo Bypass,2016,5,0.073061462,NA,NA,NA
1,Yolo Bypass,2016,6,0.110497084,NA,NA,0.133517859
1,Yolo Bypass,2016,7,0.070157202,NA,NA,0.152133954
1,Yolo Bypass,2016,8,0.085973099,0.132549296,0.121006623,0.145344666
1,Yolo Bypass,2016,9,0.067283899,0.159181321,0.132664748,0.146059203
1,Yolo Bypass,2016,10,0.068241609,0.166570883,0.142561833,NA
1,Yolo Bypass,2016,11,0.080218654,0.192362272,0.177959833,NA
1,Yolo Bypass,2016,12,0.134718946,NA,NA,NA
2,Sacramento River,2016,1,0.082182278,NA,NA,NA
2,Sacramento River,2016,2,0.41132495,NA,NA,NA
2,Sacramento River,2016,3,0.272777399,NA,NA,NA
2,Sacramento River,2016,4,0.098753258,NA,NA,NA
2,Sacramento River,2016,5,0.071279092,NA,NA,NA
2,Sacramento River,2016,6,0.070711671,NA,NA,0.078168867
2,Sacramento River,2016,7,0.065517598,NA,NA,0.097880602
2,Sacramento River,2016,8,0.057477314,0.082298882,0.070769072,0.095872814
2,Sacramento River,2016,9,0.073453134,0.106981308,0.079105563,0.092770637
2,Sacramento River,2016,10,0.069973237,0.11264745,0.087044105,NA
2,Sacramento River,2016,11,0.078940976,0.124222633,0.109196755,NA
2,Sacramento River,2016,12,0.085059603,NA,NA,NA
3,South Delta,2016,1,0.191583709,NA,NA,NA
3,South Delta,2016,2,0.781725555,NA,NA,NA
3,South Delta,2016,3,0.766464568,NA,NA,NA
3,South Delta,2016,4,0.151045619,NA,NA,NA
3,South Delta,2016,5,0.079186816,NA,NA,NA
3,South Delta,2016,6,0.083445035,NA,NA,0.134540892
3,South Delta,2016,7,0.105445773,NA,NA,0.183532365
3,South Delta,2016,8,0.13320909,0.149410731,0.121687601,0.183881737
3,South Delta,2016,9,0.190296239,0.20869947,0.13843644,0.17193066
3,South Delta,2016,10,0.073758331,0.220999646,0.155639024,NA
3,South Delta,2016,11,0.150175973,0.233710669,0.196129084,NA
3,South Delta,2016,12,0.180036495,NA,NA,NA
4,East Delta,2016,1,0.104426728,NA,NA,NA
