"","Source","Region","Year","Month","CPUE","Count","Season"
"1","20mm","Grizzly Bay",2010,3,0,0,"Spring"
"2","20mm","Grizzly Bay",2010,4,0,0,"Spring"
"3","20mm","Grizzly Bay",2010,5,0.000176323883572753,1,"Spring"
"4","20mm","Grizzly Bay",2010,6,0.00136793015758174,7,"Summer"
"5","20mm","Grizzly Bay",2011,3,0,0,"Spring"
"6","20mm","Grizzly Bay",2011,4,0.00112311558937253,6,"Spring"
"7","20mm","Grizzly Bay",2011,5,0.00416039238541808,20,"Spring"
"8","20mm","Grizzly Bay",2011,6,0.00897058382477183,45,"Summer"
"9","20mm","Grizzly Bay",2011,7,0.0219570921967119,65,"Summer"
"10","20mm","Grizzly Bay",2012,3,0.000411399648678188,2,"Spring"
"11","20mm","Grizzly Bay",2012,4,0.000186071122972872,1,"Spring"
"12","20mm","Grizzly Bay",2012,5,0.000442183342015193,2,"Spring"
"13","20mm","Grizzly Bay",2012,6,0,0,"Summer"
"14","20mm","Grizzly Bay",2012,7,0.000404880073686033,1,"Summer"
"15","20mm","Grizzly Bay",2013,3,0,0,"Spring"
"16","20mm","Grizzly Bay",2013,4,0,0,"Spring"
"17","20mm","Grizzly Bay",2013,5,0,0,"Spring"
"18","20mm","Grizzly Bay",2013,6,0,0,"Summer"
"19","20mm","Grizzly Bay",2013,7,0,0,"Summer"
"20","20mm","Grizzly Bay",2014,3,0,0,"Spring"
"21","20mm","Grizzly Bay",2014,4,0,0,"Spring"
"22","20mm","Grizzly Bay",2014,5,0,0,"Spring"
"23","20mm","Grizzly Bay",2014,6,0,0,"Summer"
"24","20mm","Grizzly Bay",2014,7,0,0,"Summer"
"25","20mm","Grizzly Bay",2015,3,0,0,"Spring"
"26","20mm","Grizzly Bay",2015,4,0,0,"Spring"
"27","20mm","Grizzly Bay",2015,5,0,0,"Spring"
"28","20mm","Grizzly Bay",2015,6,0,0,"Summer"
"29","20mm","Grizzly Bay",2015,7,0,0,"Summer"
"30","20mm","Grizzly Bay",2016,3,0,0,"Spring"
"31","20mm","Grizzly Bay",2016,4,0.000173055049462531,1,"Spring"
"32","20mm","Grizzly Bay",2016,5,0,0,"Spring"
"33","20mm","Grizzly Bay",2016,6,0.000348001571187774,2,"Summer"
"34","20mm","Grizzly Bay",2016,7,0.00050098048959489,1,"Summer"
"35","20mm","Grizzly Bay",2017,3,0,0,"Spring"
"36","20mm","Grizzly Bay",2017,4,0,0,"Spring"
"37","20mm","Grizzly Bay",2017,5,0,0,"Spring"
"38","20mm","Grizzly Bay",2017,6,0.000171766834390419,1,"Summer"
"39","20mm","Grizzly Bay",2017,7,0.0031389828803507,8,"Summer"
"40","20mm","Grizzly Bay",2018,3,0,0,"Spring"
"41","20mm","Grizzly Bay",2018,4,0,0,"Spring"
"42","20mm","Grizzly Bay",2018,5,0,0,"Spring"
"43","20mm","Grizzly Bay",2018,6,0,0,"Summer"
"44","20mm","Grizzly Bay",2018,7,0,0,"Summer"
"45","20mm","Grizzly Bay",2019,3,0,0,"Spring"
"46","20mm","Grizzly Bay",2019,4,0,0,"Spring"
"47","20mm","Grizzly Bay",2019,5,0,0,"Spring"
"48","20mm","Grizzly Bay",2019,6,0,0,"Summer"
"49","20mm","Grizzly Bay",2019,7,0,0,"Summer"
"50","20mm","Grizzly Bay",2020,3,0,0,"Spring"
"51","20mm","Grizzly Bay",2020,5,0,0,"Spring"
"52","20mm","Grizzly Bay",2020,6,0,0,"Summer"
"53","20mm","Grizzly Bay",2020,7,0,0,"Summer"
"54","20mm","Grizzly Bay",2021,3,0,0,"Spring"
"55","20mm","Grizzly Bay",2021,4,0,0,"Spring"
"56","20mm","Grizzly Bay",2021,5,0,0,"Spring"
"57","20mm","Grizzly Bay",2021,6,0,0,"Summer"
"58","20mm","Grizzly Bay",2021,7,0,0,"Summer"
"59","20mm","Grizzly Bay",2022,3,0,0,"Spring"
"60","20mm","Grizzly Bay",2022,4,0,0,"Spring"
"61","20mm","Grizzly Bay",2022,5,0,0,"Spring"
"62","20mm","Grizzly Bay",2022,6,0,0,"Summer"
"63","20mm","Grizzly Bay",2023,3,0,0,"Spring"
"64","20mm","Grizzly Bay",2023,4,0,0,"Spring"
"65","20mm","Grizzly Bay",2023,5,0,0,"Spring"
"66","20mm","Grizzly Bay",2023,6,0,0,"Summer"
"67","20mm","Grizzly Bay",2023,7,0,0,"Summer"
"68","20mm","River",2010,3,0.000212414533339286,6,"Spring"
"69","20mm","River",2010,4,5.11768586067792e-05,2,"Spring"
"70","20mm","River",2010,5,0.000950898286698973,33,"Spring"
"71","20mm","River",2010,6,0.000441870432371851,15,"Summer"
"72","20mm","River",2010,7,0.00462056953900525,66,"Summer"
"73","20mm","River",2011,3,3.08178254125645e-05,1,"Spring"
"74","20mm","River",2011,4,0,0,"Spring"
"75","20mm","River",2011,5,0.000151372974913843,5,"Spring"
"76","20mm","River",2011,6,2.90720949576095e-05,1,"Summer"
"77","20mm","River",2011,7,0.000455810238161515,8,"Summer"
"78","20mm","River",2012,3,0.000502187936003055,16,"Spring"
"79","20mm","River",2012,4,0.000339671220630681,11,"Spring"
"80","20mm","River",2012,5,0.00385615232387508,122,"Spring"
"81","20mm","River",2012,6,0.00207905159540941,67,"Summer"
"82","20mm","River",2012,7,0.000124275819772377,2,"Summer"
"83","20mm","River",2013,3,0.000164463776922449,5,"Spring"
"84","20mm","River",2013,4,0.00194953429617558,59,"Spring"
"85","20mm","River",2013,5,0.00281025823652029,81,"Spring"
"86","20mm","River",2013,6,0.00496117144111821,153,"Summer"
"87","20mm","River",2013,7,0.000949010381728022,14,"Summer"
"88","20mm","River",2014,3,6.30713731645168e-05,1,"Spring"
"89","20mm","River",2014,4,0.000148740407067362,7,"Spring"
"90","20mm","River",2014,5,0.000369004280265595,12,"Spring"
"91","20mm","River",2014,6,0.000623700978026791,19,"Summer"
"92","20mm","River",2014,7,0.000131605968645919,2,"Summer"
"93","20mm","River",2015,3,5.39247777113934e-05,1,"Spring"
"94","20mm","River",2015,4,9.87781805969629e-05,4,"Spring"
"95","20mm","River",2015,5,2.88997378586264e-05,1,"Spring"
"96","20mm","River",2015,6,5.44396119818677e-05,2,"Summer"
"97","20mm","River",2015,7,0,0,"Summer"
"98","20mm","River",2016,3,3.33726475963039e-05,1,"Spring"
"99","20mm","River",2016,4,2.90038170772512e-05,1,"Spring"
"100","20mm","River",2016,5,0.000468362638976624,6,"Spring"
"101","20mm","River",2016,6,0.000141303505445366,5,"Summer"
"102","20mm","River",2016,7,0,0,"Summer"
