"","Yr2Season","Detected","Sampled","Prevalence","StartMo","Year2.x","Yr2SeasonNo","Time","Season","Year2.y","OUT","X2","CVP","SWP","Index","Yr.type","Action","shape1","shape2","LowerBound","UpperBound","LowerBound_Diff","UpperBound_Diff","LowLower","HighHigher","prev_LowerBound","prev_UpperBound","Trend"
"4","2010 Winter",159,1169,0.136013686911891,"1","2010","2010-1","2010-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1011,0.117569552388148,0.156876507130773,NA,NA,0,0,NA,NA,0
"2","2010 Spring",457,3063,0.149200130590924,"3","2010","2010-3","2010-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,458,2607,0.137028666836692,0.162262713881086,0.0194591144485441,0.0053862067503132,0,1,0.117569552388148,0.156876507130773,0
"3","2010 Summer",551,2740,0.201094890510949,"6","2010","2010-6","2010-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,552,2190,0.186515660848859,0.216522839358807,0.049486994012167,0.054260125477721,0,1,0.137028666836692,0.162262713881086,1
"1","2010 Fall",68,2205,0.0308390022675737,"9","2010","2010-9","2010-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,69,2138,0.0244161846318307,0.0389160381711825,-0.162099476217029,-0.177606801187624,1,0,0.186515660848859,0.216522839358807,-1
"8","2011 Winter",284,1952,0.145491803278689,"1","2011","2011-1","2011-01","Winter",2011,20245.1083333333,71.77275,3609.125,5335.45833333333,10.54,"W","FallX2",285,1669,0.130556546905315,0.16183933842227,0.106140362273485,0.122923300251087,0,1,0.0244161846318307,0.0389160381711825,1
"6","2011 Spring",503,3173,0.158525055152852,"3","2011","2011-3","2011-03","Spring",2011,78677.2826086956,55.1920652173913,2311.80434782609,2994.73913043478,10.54,"W","FallX2",504,2671,0.146236673570128,0.171650829602819,0.0156801266648127,0.00981149118054958,0,1,0.130556546905315,0.16183933842227,0
"7","2011 Summer",1265,3713,0.340694855911662,"6","2011","2011-6","2011-06","Summer",2011,22643.0326086957,66.6559782608696,3984.0652173913,6874.01086956522,10.54,"W","FallX2",1266,2449,0.32562361521125,0.356099998420529,0.179386941641122,0.184449168817709,0,1,0.146236673570128,0.171650829602819,1
"5","2011 Fall",483,2317,0.208459214501511,"9","2011","2011-9","2011-09","Fall",2011,8278,80.8188524590164,4053.77049180328,5413.63934426229,10.54,"W","FallX2",484,1835,0.192414853633103,0.225482317380591,-0.133208761578147,-0.130617681039938,1,0,0.32562361521125,0.356099998420529,-1
"12","2012 Winter",605,2200,0.275,"1","2012","2012-1","2012-01","Winter",2012,19434.5123966942,78.2531404958678,2778.82644628099,3203.79338842975,6.89,"BN",NA,606,1596,0.256750387901136,0.294045096994925,0.0643355342680328,0.0685627796143343,0,1,0.192414853633103,0.225482317380591,1
"10","2012 Spring",1006,3312,0.303743961352657,"3","2012","2012-3","2012-03","Spring",2012,20046.5434782609,70.5909782608696,1440.0652173913,1507.17391304348,6.89,"BN",NA,1007,2307,0.288319395607875,0.319629635948999,0.0315690077067386,0.0255845389540742,0,1,0.256750387901136,0.294045096994925,0
"11","2012 Summer",666,3037,0.219295357260454,"6","2012","2012-6","2012-06","Summer",2012,6811.22826086957,79.9077173913043,3553.36956521739,4541.70652173913,6.89,"BN",NA,667,2372,0.204943756786747,0.234366133044689,-0.0833756388211274,-0.08526350290431,1,0,0.288319395607875,0.319629635948999,-1
"9","2012 Fall",112,2133,0.0525082044069386,"9","2012","2012-9","2012-09","Fall",2012,4575.13114754098,86.3167213114754,3201.98360655738,3006.62295081967,6.89,"BN",NA,113,2022,0.0438363536830767,0.0628113826591783,-0.161107403103671,-0.171554750385511,1,0,0.204943756786747,0.234366133044689,-1
