"","fish_id","casette_number","station","collection_date","survey_char","Phase","SampleDate","Latitude","Longitude"
"1","3228","11ST8-808","515",2011-12-09,"fmwt",NA,NA,38.092,-122.01472
"2","2855","11ST8-703","705",2011-11-15,"fmwt",NA,NA,38.07925,-121.7618
"3","2974","11ST8-712","719",2011-11-21,"fmwt",NA,NA,38.33428,-121.64733
"4","2975","11ST8-726","719",2011-11-21,"fmwt",NA,NA,38.33428,-121.64733
"5","2770","11ST8-619","407",2011-11-09,"fmwt",NA,NA,38.03298,-122.14515
"6","2210","11ST8-870","411",2011-10-05,"fmwt",NA,NA,38.06117,-122.06828
"7","2259","11ST8-872","505",2011-10-05,"fmwt",NA,NA,38.05713,-121.95597
"8","2365","11ST8-511","511",2011-10-07,"fmwt",NA,NA,38.0513,-121.88
"9","1100","11ST8-95","411",2011-09-08,"fmwt",NA,NA,38.06117,-122.06828
"10","1101","11ST8-96","411",2011-09-08,"fmwt",NA,NA,38.06117,-122.06828
"11","1108","11ST8-34","413",2011-09-08,"fmwt",NA,NA,38.06595,-122.0473
"12","1109","11ST8-31","413",2011-09-08,"fmwt",NA,NA,38.06595,-122.0473
"13","1110","11ST8-35","413",2011-09-08,"fmwt",NA,NA,38.06595,-122.0473
"14","1113","11ST8-103","501",2011-09-08,"fmwt",NA,NA,38.06167,-122.01955
"15","1364","11ST8-64","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"16","1365","11ST8-78","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"17","1366","11ST8-28","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"18","1367","11ST8-70","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"19","1368","11ST8-69","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"20","1369","11ST8-43","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"21","1370","11ST8-45","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"22","1371","11ST8-61","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"23","1372","11ST8-40","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"24","1373","11ST8-47","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"25","1374","11ST8-58","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"26","1375","11ST8-42","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"27","1376","11ST8-49","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"28","1377","11ST8-37","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"29","1379","11ST8-36","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"30","1380","11ST8-60","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"31","1381","11ST8-29","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"32","1382","11ST8-16","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"33","1383","11ST8-52","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"34","1384","11ST8-18","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"35","1385","11ST8-63","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"36","1386","11ST8-41","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"37","1387","11ST8-75","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"38","1389","11ST8-68","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"39","1390","11ST8-73","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"40","1391","11ST8-30","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"41","1392","11ST8-46","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"42","1393","11ST8-38","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"43","1394","11ST8-59","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"44","1395","11ST8-67","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"45","1396","11ST8-76","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"46","1397","11ST8-77","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"47","1398","11ST8-17","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"48","1399","11ST8-57","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"49","1400","11ST8-50","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"50","1401","11ST8-74","716",2011-08-23,"stn",NA,NA,38.23787,-121.68438
"51","5146","12ST1-658","719",2012-06-11,"stn",NA,NA,38.33428,-121.64733
"52","5147","13ST8 -  252","719",2012-06-11,"stn",NA,NA,38.33428,-121.64733
"53","5148","13ST8 -  230","719",2012-06-11,"stn",NA,NA,38.33428,-121.64733
"54","1484","11ST8-48","797",2011-08-23,"stn",NA,NA,38.40462,-121.6156
"55","1485","11ST8-72","797",2011-08-23,"stn",NA,NA,38.40462,-121.6156
"56","1486","11ST8-51","797",2011-08-23,"stn",NA,NA,38.40462,-121.6156
"57","1487","11ST8-44","797",2011-08-23,"stn",NA,NA,38.40462,-121.6156
"58","1003","11ST8-27","501",2011-08-24,"stn",NA,NA,38.07338,-122.02246
"59","1004","11ST8-15","501",2011-08-24,"stn",NA,NA,38.07338,-122.02246
"60","1005","11ST8-3","501",2011-08-24,"stn",NA,NA,38.07338,-122.02246
"61","1006","11ST8-6","519",2011-08-24,"stn",NA,NA,38.07231,-121.95969
"62","1062","11ST8-5","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"63","1063","11ST8-9","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"64","1064","11ST8-424","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"65","1065","11ST8-13","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"66","1066","11ST8-12","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"67","1067","11ST8-25","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"68","1068","11ST8-26","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"69","1071","11ST8-19","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
"70","1072","11ST8-7","602",2011-08-25,"stn",NA,NA,38.114,-122.04619
